,xc,yc,area,box_label,imagename
0,1409.9189949035645,500.3973846435547,600.5662484166678,[118.01328 232.79477 141.8247  256.     ],Sample1
1,1402.934284210205,481.5072021484375,407.0075769727118,[112.740974 216.49173  133.1276   234.52267 ],Sample1
2,1307.5638551712034,632.2471961975098,474.12494190975855,[ 17.237192 109.79911   37.89052  130.69528 ],Sample1
3,1477.8787994384766,716.8950958251953,1649.259245440364,[176.08315 186.90204 219.67445 222.88815],Sample1
4,1316.720329284668,756.3026580810547,348.8354664319195,[ 28.107239 235.23303   45.33342  253.37228 ],Sample1
5,1472.8351211547852,745.1766738891603,1357.3108968266752,[172.68422 217.24506 212.98602 249.10829],Sample1
6,1449.5908660888672,696.3714218139647,1507.8392722238789,[151.26599 164.84686 187.91574 203.89598],Sample1
7,1472.7980422973633,610.3543472290039,325.52770676999353,[184.48242  89.62279 201.11366 107.08591],Sample1
8,1482.427360534668,689.6478271484375,1047.4064395595342,[187.0717  161.63312 217.78302 193.66254],Sample1
9,1405.3075485229492,652.8413314819336,1884.6815712081732,[106.57828 116.83856 144.03682 164.8441 ],Sample1
10,1430.397720336914,753.9330444335938,1002.9576516151428,[133.68483 227.86609 167.11061 256.     ],Sample1
11,1390.3186264038086,520.8964719772339,388.53299006499583,[100.48142    0.       120.15583   17.792944],Sample1
12,1481.6231842041016,665.9644088745117,814.0809872397223,[188.28293 139.75946 214.96344 168.16936],Sample1
13,1438.7473449707031,565.1999912261962,469.327691184124,[148.91675  42.34228 168.57794  64.0577 ],Sample1
14,1605.2040901184082,725.9816818237305,129.13651249569375,[ 64.386856 208.41008   74.021324 219.55328 ],Sample1
15,1246.1907043457034,901.0446929931641,178.7459199652076,[216.06995 126.79524 228.31146 139.29414],Sample1
16,1398.170539855957,838.7338485717772,1054.883850370068,[102.155014  55.265785 134.18607   86.20191 ],Sample1
17,1412.293025970459,817.0114002227783,660.543408421363,[120.057106  36.54525  144.52895   61.47755 ],Sample1
18,1436.1604614257812,794.0320053100586,836.5776926886757,[142.66292   11.590496 169.658     40.473515],Sample1
19,1290.752417802811,817.4426860809326,255.6642629980561,[ 3.395945 41.80722  18.10889  57.07815 ],Sample1
20,1368.186996459961,798.5547733306885,528.5381063043607,[76.79805  19.940708 99.57594  41.16884 ],Sample1
21,1408.425449371338,774.7055253982544,290.43613006894884,[118.848595   0.       138.0023    13.411051],Sample1
22,1528.3664321899414,827.9340877532959,368.9859881814919,[240.73286   49.092632 256.        70.77554 ],Sample1
23,1702.2227935791016,954.1873016357422,201.9943037610501,[159.51031 179.68575 172.93527 192.68886],Sample1
