,xc,yc,area,box_label
0,1118.9226913452148,52.50100898742676,643.7459918606328,[ 83.22306   39.809093 106.62232   65.192924]
1,1425.5171661376953,62.88273239135742,149.72753213276155,[139.82977   57.33303  151.20456   68.432434]
2,1010.2860717773438,405.5944595336914,854.609397964552,[228.57214 135.06326 256.      164.12566]
3,1509.1033477783203,314.3199939727783,587.7318849049043,[218.01372   46.142025 240.19298   70.49796 ]
4,1762.5159912109375,340.2006950378418,266.4713937244378,[218.4927   76.88471 234.53928  91.51668]
5,1696.4930038452148,295.4959964752197,177.2191406528582,[154.00145   33.659096 166.98456   45.332897]
6,2666.9390258789062,411.47438049316406,207.57235592231154,[100.03723 148.9635  113.84082 161.98526]
7,992.4575958251953,651.7020568847656,519.6836954113096,[213.42743 128.93414 235.48776 150.46997]
8,945.2289505004883,690.4356460571289,444.7309178367723,[166.95833 168.61287 187.49957 188.25842]
9,1015.4242553710938,634.1413154602051,473.48130370210856,[238.84851 109.59882 256.      134.6838 ]
10,1226.3159484863281,699.884895324707,605.945905467961,[190.62077 175.96306 214.01112 199.80673]
11,1171.0290985107422,746.4812164306641,360.8775386121124,[137.08217 226.34525 156.97603 242.61719]
12,1183.3930740356445,671.8029098510742,688.6007350280415,[146.46869 147.47922 172.31746 172.1266 ]
13,1144.956443786621,676.0746231079102,243.74097173917107,[113.44273 156.97075 128.47015 171.1785 ]
14,1172.9255981445312,568.4138374328613,338.99222896434367,[140.07977   47.845825 157.77142   64.98185 ]
15,1056.5045652389526,620.2445297241211,353.3183808491158,[ 22.538229 100.30513   42.4709   116.18393 ]
16,1273.3684921264648,693.2747955322266,324.0222191866487,[242.73698 170.41597 256.      192.13362]
17,1322.008243560791,720.2419586181641,891.6866777341347,[ 28.941948 192.30994   55.07454  224.17398 ]
18,1384.80708694458,687.5866165161133,637.324972733506,[ 91.86046  164.23746  117.753716 186.93578 ]
19,1365.1873588562012,622.523509979248,505.57579744857503,[ 73.0995   100.98257   97.275215 120.06445 ]
20,1497.4260787963867,540.0143756866455,375.7838163821143,[207.87822   19.164528 226.97394   36.864223]
21,1309.923068523407,682.828483581543,1122.8893304272788,[ 12.386321 155.76457   47.459816 185.8924  ]
22,1429.8474044799805,519.1694393157959,313.7081075311289,[140.12149    0.       159.57332   14.338879]
23,1297.3780212402344,746.9428863525391,1115.13611892052,[  0.       219.84921   34.756042 250.03656 ]
24,1294.4615058898926,668.5182189941406,941.28820347297,[  0.       141.28972   28.923012 171.74672 ]
25,1287.367923259735,694.1499633789062,391.9386955127993,[  0.        170.19627    14.7358465 194.10365  ]
26,1649.188632965088,641.3937492370605,358.33272713789484,[103.816246 120.81963  122.56102  137.96786 ]
27,2325.6872973442078,741.0758438110352,245.33736879118078,[ 14.2879095 221.8114     29.086685  236.34029  ]
28,713.3853225708008,886.3594436645508,696.2924331834074,[188.23843 106.10393 214.53221 130.61496]
29,849.2804412841797,778.7611045837402,675.5824215845205,[66.7823   0.      95.77858 21.52221]
30,1079.875249862671,961.1020965576172,704.4112698491663,[ 42.314213 181.07793   69.43629  205.12627 ]
31,1081.2487506866455,833.0488586425781,658.8852294898825,[44.841404 52.787033 69.6561   77.310684]
32,1245.0346603393555,791.0012321472168,655.2518679684727,[208.35828   11.068916 233.71104   34.933548]
33,1248.328842163086,774.9738478660583,295.40037003316684,[214.94771    0.       233.70998   13.947696]
34,1478.9246520996094,966.8059005737305,703.540768314153,[185.71335 186.47815 212.13596 211.13365]
35,1334.0522594451904,851.8271293640137,933.1116109725845,[ 41.25684   66.781395  66.84768  100.87286 ]
36,1416.840919494629,807.0680923461914,838.0965704936534,[122.388794  25.555092 151.29305   52.581093]
37,1315.4526481628418,921.5345077514648,365.9677835460752,[ 27.281689 143.48297   43.623608 163.58604 ]
38,162.55754852294922,1231.9670944213867,174.43379695597105,[156.05324 202.24115 169.06186 213.69304]
39,447.96422576904297,1152.135829925537,581.6983816010179,[179.97853 116.98853 203.94992 139.28313]
40,385.8857841491699,1210.0096817016602,476.8824082998326,[120.09965 174.91927 139.67192 197.1001 ]
41,636.5985832214355,1098.000322341919,524.5024838382087,[113.45844   63.23537  135.73872   84.765274]
42,615.2118759155273,1134.1299514770508,534.800953024067,[ 91.75474   99.448326 114.669014 120.81158 ]
43,520.5224647521973,1219.6593399047852,395.11803884699475,[  0.      185.21117  17.04493 206.10751]
44,674.8959426879883,1155.333366394043,193.99237380246632,[156.42113 124.88005 169.37076 137.78668]
45,893.231071472168,1173.2311935424805,741.0809628048446,[111.89722 136.33867 138.56493 162.12372]
