,xc,yc,area,box_label
0,1426.171630859375,499.05072021484375,374.53021161817014,[137.12242 233.74545 155.22084 252.35599]
1,1444.5110702514648,458.84393310546875,826.3191469120793,[150.72539 188.88332 178.29675 216.80455]
2,1572.0723571777344,506.9153747558594,213.49696106789634,[ 27.015003 245.83075   45.12971  256.      ]
3,1247.620750427246,670.0951309204102,283.22408763854764,[215.66449 150.22192 231.57701 165.96834]
4,1501.9651641845703,715.0813751220703,722.7695711189881,[208.88217 190.27853 235.04816 215.88422]
5,1494.6400604248047,643.9432678222656,650.8985576312989,[202.25081  119.818436 227.02931  144.0681  ]
6,1452.988136291504,651.0043258666992,1377.5145292386878,[154.6429   121.230286 191.33337  156.77837 ]
7,1398.4277801513672,655.4552879333496,1317.1039530902635,[101.944824 124.56667  134.91074  162.3439  ]
8,1481.2568740844727,670.240364074707,660.6634626004379,[187.84056 146.87186 214.67319 169.60887]
9,1435.5990524291992,737.7431793212891,978.4406734271906,[141.53146 209.45178 169.66664 242.03458]
10,1381.0251197814941,740.8440017700195,662.569293358014,[ 89.13757 215.97232 112.91267 241.71568]
11,1509.246078491211,580.7553424835205,351.63387005624827,[220.43558   59.81348  238.05658   77.697205]
12,1435.7265548706055,553.3093891143799,402.17702490329975,[145.71194   32.24705  165.74117   50.371727]
13,1514.5040283203125,629.8215217590332,378.76299712248147,[225.61646 108.2347  243.3916  127.40834]
14,1398.9133644104004,689.3224029541016,594.7147238999605,[107.205284 165.64369  130.62144  189.00111 ]
15,1398.0005149841309,717.1037673950195,533.5039821594255,[105.97411 194.95618 130.02692 215.25136]
16,1413.4550971984863,616.267463684082,213.2711649981793,[126.51316  97.60296 140.39703 110.93197]
17,1519.0546112060547,592.3436088562012,289.10938251181506,[230.17178  73.14046 247.93744  87.54676]
18,1359.5231971740723,564.7500247955322,493.04948497077567,[68.48762  42.564617 90.55878  62.935432]
19,1405.8575057983398,734.6524429321289,608.5398825241718,[112.50597 212.16919 139.20905 233.1357 ]
20,1416.6444358825684,631.1592597961426,357.3040174659691,[127.56605 110.33347 145.72282 127.98505]
21,1451.1559677124023,621.5815849304199,877.2317107416457,[156.3269   95.77491 185.98503 123.38826]
22,1497.0802917480469,535.5313882827759,609.1018174010096,[205.20087   11.7307   228.95972   35.332077]
23,1570.5762147903442,523.9275209903717,222.66724679993786,[26.97447    5.5565553 42.17796   18.298487 ]
24,1559.0920209884644,617.2998733520508,346.8187035844603,[ 14.464165  96.300964  31.719877 114.29878 ]
25,1546.2309083938599,740.8223037719727,507.02854450183804,[  0.       217.50996   20.461817 240.13464 ]
26,1593.3669605255127,645.8984680175781,425.5981789258076,[ 48.048336 123.561966  66.685585 144.23497 ]
27,1055.668996810913,975.0680236816406,206.920005826978,[ 24.800808 200.5473    38.537186 213.58875 ]
28,1470.5468978881836,838.5035877227783,243.93127537885448,[183.2188    63.213345 197.875     77.79383 ]
29,1426.1827545166016,905.2983627319336,350.870377458632,[137.33241 128.41714 155.0331  146.17958]
30,1453.0273513793945,778.7697496414185,547.3274562408042,[161.38583   0.      184.66887  21.5395 ]
31,1520.8301620483398,776.9436855316162,476.11097993067233,[228.72621    0.       252.93411   17.887371]
32,1712.1147689819336,999.5823669433594,307.88571545574814,[168.11023 223.03174 184.11931 240.133  ]
33,1707.3320083618164,963.5065383911133,254.22729537379928,[164.47534 187.36719 178.18867 203.64589]
34,1610.9045486450195,981.4953079223633,777.3632109877653,[ 60.88595 200.60966  88.92315 226.38095]
35,1633.9403991699219,808.5833749771118,406.1089131515182,[ 87.91845   31.434286 107.96235   49.732464]
36,1666.1538581848145,867.8086738586426,223.80429100088077,[123.296486  92.70391  137.01123  106.91344 ]
37,1646.179386138916,830.1364364624023,456.859176055179,[ 99.93293  52.0083  120.42584  72.26457]
38,1614.7011413574219,1013.3835067749023,426.90403123688884,[ 69.12879 235.28757  88.27349 255.47945]
39,1547.3111414909363,978.5606307983398,341.7054857754847,[  2.2688704 202.10822    20.353413  219.01305  ]
40,1610.4222984313965,781.9428806304932,439.12329398680595,[63.96393    4.4248924 84.88067   23.460869 ]
41,1546.844916343689,787.3876266479492,665.3380742083536,[ 0.        5.226036 21.689833 33.549217]
42,2069.117654800415,867.4598999023438,532.4242531761993,[  9.757145  88.737274  32.478165 110.182526]
43,579.9265995025635,1079.493314743042,226.78374044019438,[60.883564 48.476986 74.969635 62.509644]
44,1188.0134201049805,1249.4408874511719,196.85952441953123,[157.4162  219.0065  170.61064 231.87527]
45,1223.297477722168,1219.008918762207,261.8311768362764,[191.61339 187.51074 206.98157 202.5071 ]
46,1435.193016052246,1082.5370616912842,357.851442907413,[145.88593   49.9148   164.5001    67.159325]
47,1427.8119430541992,1123.6433143615723,326.6339417035924,[139.27667  91.10557 156.34721 108.18106]
48,1400.1310195922852,1028.9309749603271,175.32595300697722,[112.56037   0.      127.70167   9.86195]
49,1639.0843696594238,1230.7915725708008,485.6608851264464,[ 92.67838 196.15868 113.49036 217.42447]
50,1746.1980819702148,1106.7437705993652,288.1774711123435,[202.38023  74.58235 218.01593  90.90519]
51,1630.5612983703613,1062.0706224441528,227.26988834781514,[ 88.275604  30.197496 100.84699   45.94375 ]
52,1565.6340379714966,1113.2826805114746,463.4568709795276,[18.970175 79.404175 40.2979   99.16119 ]
53,1652.2983741760254,1237.0076446533203,189.35657527833246,[110.0469  206.49597 122.54985 219.51932]
54,1764.4129104614258,1212.1541366577148,315.8117451251019,[219.70879 180.07614 237.11703 196.23213]
55,590.6224975585938,1377.6026344299316,146.24072412843816,[ 73.0865   92.04561  84.15849 103.15966]
56,991.442626953125,1431.5542373657227,254.39720839867368,[215.86586 144.17989 231.0194  158.92859]
57,968.2355041503906,1450.645408630371,414.53213228750974,[190.51508 161.00562 209.95593 180.2852 ]
58,1189.428337097168,1365.0098609924316,219.1546588455094,[158.7767   77.84886 172.07997  92.17086]
59,1034.8671283721924,1341.6106872558594,213.57306093350053,[ 3.3836079 55.422752  18.350649  67.79862  ]
60,1091.2887077331543,1371.499698638916,287.0256963999127,[59.78337  83.036125 74.794044 99.96327 ]
61,1858.3195781707764,1422.4505615234375,498.46221352997236,[ 55.810818 131.63089   76.82834  153.27023 ]
62,1842.5359344482422,1383.8732376098633,410.56280951946974,[ 41.361183  93.76411   59.710686 113.98237 ]
63,1844.1218433380127,1400.8127784729004,263.4321289208892,[ 43.258675 114.279045  60.985012 127.34651 ]
64,796.8267526626587,1594.005470275879,152.89866357122082,[23.023779 52.440926 34.629726 63.570015]
65,794.1124429702759,1762.3573379516602,277.75391529130866,[ 18.176928 218.62566   34.04796  234.08902 ]
66,831.8633480072021,1556.743420600891,199.87262990751333,[56.840565 14.601177 70.88613  26.885664]
67,1102.3629913330078,1572.9406089782715,208.4235189780593,[71.80911  30.053768 84.91687  43.82745 ]
