,xc,yc,area,box_label
0,1635.3467292785645,628.9579238891602,1314.2570117287105,[ 80.6519  100.34059 118.04156 133.57526]
1,1587.4473133087158,572.8096351623535,246.22162343355012,[45.016888 52.427727 57.87774  69.19154 ]
2,1036.6466479301453,915.5853271484375,435.8350081864046,[  3.0027857 137.34398    22.29051   157.82668  ]
3,1630.736255645752,916.6381378173828,1954.4510998118203,[ 74.072464 126.050934 115.40005  171.22534 ]
4,1705.3334503173828,898.1701698303223,882.9427680284716,[155.17125  115.615425 183.49565  144.72491 ]
5,1567.3538126945496,887.6347274780273,1293.7361364101525,[ 13.575728 102.439545  49.131897 136.82991 ]
6,1691.2858428955078,917.9882278442383,764.4570640111342,[142.3933  136.21803 168.17839 163.75842]
7,1726.8181686401367,906.4526634216309,833.9052882656688,[177.81929 123.50869 203.81705 153.39664]
8,1699.453857421875,814.8593616485596,402.6198224304244,[153.22571   37.97704  173.682     55.741684]
9,1619.7683124542236,979.007942199707,2745.098559934704,[ 58.52003  184.85472  109.016594 237.16116 ]
10,1592.6611289978027,901.7047271728516,1185.5009200167842,[ 40.196854 116.73418   73.125404 150.67528 ]
11,1572.0254373550415,851.6961212158203,549.6764073792147,[26.022467 71.11229  46.028408 96.27995 ]
12,1680.1068572998047,786.6558777093887,894.3073731239419,[130.10286     3.7410347 158.11086    33.57072  ]
13,1659.3896827697754,971.2727737426758,769.1081636206945,[109.60215 190.3151  137.17722 216.23045]
14,1564.703516960144,911.4533004760742,804.3586835615861,[ 13.657686 131.01802   43.749348 155.88858 ]
15,1655.7083129882812,996.0057220458984,814.1614409163594,[105.6918  214.48442 133.72482 241.52702]
16,1657.1821594238281,985.2045211791992,1417.4210944049992,[104.41106 197.18729 137.95326 237.22176]
17,1657.1642608642578,777.6110315322876,645.8304136854713,[105.6958     0.       136.63272   19.222063]
18,1875.5629844665527,938.6993179321289,321.72935362008866,[ 75.19931 162.12494  91.92666 179.2737 ]
19,2229.7905044555664,910.1490478515625,791.5557335265912,[168.73796 128.04744 194.84305 156.25066]
20,881.2650451660156,1251.56396484375,187.02936713397503,[107.24217 220.89575 119.28792 234.23218]
21,1646.5752029418945,1142.0858421325684,1549.5632136916975,[ 91.486725  98.80938  129.66368  137.3623  ]
22,1646.5786514282227,1050.269425868988,2440.5101506282226,[ 85.19922    3.193656 135.95808   49.345196]
23,1655.0324897766113,1083.1591110229492,1325.916391744162,[ 98.82082   43.654648 139.24416   74.663574]
24,1674.418312072754,1236.597526550293,488.0813776224386,[129.67229 199.90047 147.16434 225.29459]
25,1667.3387908935547,1042.8733325004578,943.4113425426185,[118.47136     1.7294912 144.20622    36.017174 ]
26,1665.3955307006836,1178.867546081543,221.04002161533572,[120.9263  149.20648 137.86476 160.52861]
27,1703.9664306640625,1189.3170471191406,262.975958827883,[160.27658 157.78955 175.65628 172.84454]
28,1851.9680252075195,1207.3306732177734,583.1951034590602,[ 48.2707  171.87733  71.66535 194.78401]
29,1845.9439086914062,1225.1640625,593.5646632984281,[ 41.427185 190.26402   66.46063  212.0641  ]
30,1899.342571258545,1260.6830444335938,167.85452979546972,[101.44396 230.6248  113.24118 242.74129]
31,1867.6177978515625,1260.7736511230469,160.84251042921096,[ 69.92662  230.77882   81.308975 242.76848 ]
32,2198.367820739746,1090.6171073913574,917.2112444482045,[136.01505   51.678726 164.7206    81.55549 ]
