,xc,yc,area,box_label
0,1506.6110763549805,498.01087188720703,235.62234407826327,[219.19664 235.06807 234.02551 248.95367]
1,1545.1288604736328,500.9972152709961,443.03483685525134,[  0.      233.99443  18.25772 256.     ]
2,993.497917175293,752.1309051513672,171.66040532756597,[219.04338 234.4601  231.95245 245.80171]
3,1107.9684143066406,567.6233978271484,235.97767011041287,[76.69474  48.534397 91.24209  62.7124  ]
4,1501.8156661987305,591.4188385009766,497.6454800940119,[210.81563   69.100494 232.8157    89.73718 ]
5,1505.289894104004,744.8253631591797,1055.2331635337323,[209.43718 217.19298 241.14261 248.45775]
6,1326.8559074401855,647.221321105957,189.07501963328104,[ 40.681107 128.63965   53.03071  141.803   ]
7,1700.4747467041016,675.4455337524414,666.7803418328986,[152.48112 150.60312 176.46837 176.28795]
8,1236.0030975341797,782.0725163817406,526.8486705624964,[202.03294     1.9927424 221.97325    26.15229  ]
9,1179.5863952636719,825.4756336212158,514.7011503023095,[144.47806   46.890903 166.69473   68.06036 ]
10,1512.491828918457,804.1356754302979,1984.5195101576974,[209.25275   15.736389 255.73091   56.53496 ]
11,1502.5054321289062,844.6616840362549,2234.42432990449,[197.21565   55.501705 247.79521   97.82166 ]
12,1524.3529663085938,1002.4050369262695,643.8050186801702,[232.70593 221.65479 256.      247.15529]
13,1521.9667434692383,948.974365234375,916.7307456778362,[228.56879 164.98398 255.3647  196.96475]
14,1478.2303771972656,778.1609048843384,532.4472601111629,[186.2444    0.      210.21635  20.32181]
15,1309.2870330810547,826.3526782989502,153.69914346348378,[23.540874 52.70093  35.03319  64.004425]
16,1501.2497024536133,927.9304351806641,701.2321950853802,[208.53943 147.15985 233.95998 172.70102]
17,1361.2081184387207,922.5770797729492,187.8036303370027,[ 74.97156 148.10751  87.44468 161.04665]
18,1547.221459388733,967.6825180053711,603.7077419709822,[  0.       187.3064    22.442919 212.05864 ]
19,1828.3197231292725,845.806266784668,116.3859125917661,[31.543003 72.792145 41.096443 82.82039 ]
20,2063.4954302310944,974.2303466796875,427.3774060467258,[  6.559815 195.40683   24.431046 217.05386 ]
