,xc,yc,area,box_label
0,1507.3179626464844,877.6045303344727,1120.9841163810343,[210.69522  93.73764 243.9407  125.47142]
1,1521.9480438232422,983.7414169311523,1208.756943078246,[227.89609 195.47519 256.      236.00764]
2,1545.959852218628,870.7981491088867,925.9475006940193,[  0.        81.16716   19.919704 124.42914 ]
3,1472.262306213379,1041.8497905731201,1339.1835973758134,[174.51709   0.      210.00752  35.69958]
4,1521.896125793457,1307.0892992019653,1030.0029849753482,[227.79225    9.956942 256.        44.221657]
5,2084.92813873291,1529.2608261108398,274.0914760940941,[ 27.962574 242.52165   45.893703 256.      ]
6,1096.2604503631592,1672.4377250671387,1782.4922020205122,[ 53.382427 113.941414  91.13847  158.93404 ]
7,1075.2993927001953,1595.2176094055176,220.32366185862338,[44.13319  52.532707 58.465595 65.90251 ]
8,1488.5001754760742,1615.577341079712,1342.027364471869,[191.07686   61.358326 225.9235    97.79636 ]
9,2988.0794830322266,1647.3010787963867,1056.9840027568862,[156.31958  95.54969 187.83939 127.05247]
10,1381.5766677856445,1893.7115097045898,1421.216490846593,[ 83.02169   83.56525  120.131645 119.85777 ]
11,3097.5393085479736,1856.0423965454102,818.8611193796969,[12.095257 49.861206 38.98336  78.22359 ]
12,752.1858673095703,2098.8050956726074,460.9985684871208,[229.55759  40.94863 250.81415  60.66156]
13,1425.6146850585938,2254.900634765625,643.2155062071979,[133.87975 194.25763 157.34962 219.54364]
14,1446.9999694824219,2253.022506713867,196.57081083022058,[160.27306 198.72255 173.72688 211.32246]
15,1715.0947036743164,2544.4035720825195,904.0037584409583,[163.7182  226.66864 194.4712  254.1385 ]
