,xc,yc,area,box_label
0,1422.9175872802734,314.0811824798584,201.98213309270795,[136.06677   51.711803 149.7684    64.45056 ]
1,1439.3711395263672,456.99779510498047,223.99455660954118,[152.53654 193.86293 166.20573 208.13266]
2,1503.077865600586,282.8808193206787,156.1868314461317,[217.50362   20.952583 228.65211   32.809055]
3,1417.1978149414062,310.4846477508545,286.65021141595207,[128.44736   47.23773  145.94827   61.731567]
4,1232.5688171386719,721.810546875,432.57759850565344,[198.79936 199.77986 218.33827 219.84123]
5,1266.6045761108398,643.4124908447266,268.0438700807281,[234.84312 123.80121 250.36603 139.02377]
6,1257.632568359375,537.0297431945801,298.7162230107933,[225.34006   17.036259 241.92508   33.023228]
7,1272.5206451416016,764.2821350097656,128.49453838169575,[241.40456 248.56427 255.63673 256.     ]
8,1399.9995193481445,710.0062408447266,607.6722857281566,[108.11113 186.2433  131.88791 209.76918]
9,1338.3814907073975,615.4760513305664,463.51373990037246,[ 48.101727  93.226425  68.661255 113.72568 ]
10,1480.8554000854492,631.2038612365723,411.980789061985,[191.13103 109.63036 210.57977 128.77736]
11,1360.7434997558594,540.658055305481,671.8195662437938,[67.81027  16.655111 93.67673  40.661   ]
12,1409.264072418213,741.0085144042969,1373.23820818495,[110.36753 211.80899 148.16061 246.20804]
13,1421.2683601379395,686.1483535766602,879.7952493518824,[127.17942 159.57195 155.3573  188.72476]
14,1374.802089691162,749.1527709960938,1430.3350186173338,[ 75.49193 219.60225 114.11225 254.7033 ]
15,1357.9785461425781,593.2592086791992,392.43832616414875,[68.34028  72.082054 87.61681  90.43636 ]
16,1373.753101348877,622.9949340820312,900.7996607094537,[ 81.69341  93.56456 105.81279 128.42531]
17,1373.7835578918457,713.9802017211914,1002.160861495533,[ 79.28996 185.77039 108.27715 218.19002]
18,1528.1587982177734,637.7614364624023,321.507661846932,[240.3176   116.625305 256.       134.89757 ]
19,1384.6423110961914,692.2111282348633,301.49278216366656,[ 95.95607 172.50612 113.32855 187.91614]
20,1327.1343936920166,749.09716796875,244.88169904367533,[ 39.8964   229.6855    54.372387 244.50883 ]
21,1306.7989053726196,564.7209072113037,130.27893435215083,[21.206396 47.875042 32.391415 57.566772]
22,1559.0053987503052,670.8042373657227,358.7816591449373,[ 13.780226 150.08122   32.23057  167.52725 ]
23,1543.954623222351,653.8029098510742,279.9837959553406,[  0.       134.0239    15.909246 149.58192 ]
24,1737.9087219238281,631.0369606018066,227.41243404033594,[195.10728  111.7504   208.71016  126.323524]
25,1745.5907897949219,696.7390594482422,227.41739773750305,[202.64783 177.60039 216.53375 191.87773]
26,1269.6011962890625,786.9886512756348,230.34530725074,[238.2579    12.14654  252.94449   25.830763]
27,1336.367395401001,910.4233551025391,1571.4110011601588,[ 37.20473  122.943726  75.53006  161.90298 ]
28,1381.7365264892578,811.4866333007812,955.6506557420362,[ 85.68165   29.555077 117.791405  57.41819 ]
29,1310.1228523254395,900.6822738647461,961.9291842106031,[ 16.55249  116.090866  43.693214 149.27368 ]
30,1364.6640434265137,835.5753955841064,1064.2218887493655,[ 68.80785   51.809048 100.52023   83.34174 ]
31,1303.7911083698273,969.1275634765625,1302.7475501232548,[  6.2807374 183.54427    41.30148   218.71086  ]
32,1344.7555561065674,985.3329010009766,223.2398130550282,[ 57.917583 210.22726   71.59353  224.43854 ]
33,1286.920241355896,883.132152557373,282.19663833441155,[  0.       106.12449   13.840483 124.13982 ]
34,1394.473072052002,929.3499069213867,316.40925831499044,[105.99217 153.04207 122.95397 169.65775]
35,1430.0171356201172,840.7154006958008,764.9475828874856,[134.45628  61.30838 165.57799  84.12242]
36,1372.6610717773438,783.0385628938675,550.2375787182245,[ 81.97562     3.2405035 103.34653    26.836622 ]
37,1430.178108215332,853.0706558227539,674.1773436267395,[136.68085  73.52942 163.67537  96.61189]
38,1521.8002319335938,803.9297971725464,328.8172579918173,[233.31267   27.283346 250.2878    44.57625 ]
39,1310.0453758239746,774.5442929267883,291.75836953472754,[20.190952  0.       39.8998   13.088586]
40,1353.2290630340576,777.776439666748,655.2864990364469,[57.787586  0.       88.67054  19.55288 ]
41,1570.9038391113281,866.1676712036133,213.8710269778967,[ 28.21289   91.23225   41.594788 105.103096]
42,1542.545253276825,814.2862033843994,303.4093859215245,[ 0.       36.019756 13.090507 56.55265 ]
43,1712.811996459961,811.5832214355469,132.2297606896609,[171.34184   38.546104 182.28215   48.62034 ]
44,1814.7739243507385,932.7284088134766,351.765477348119,[ 13.640075 156.10004   31.907774 173.35678 ]
45,1913.807975769043,894.0937042236328,296.50809678202495,[114.44475 117.16666 129.1712  135.02075]
46,1810.3928747177124,772.0587663650513,152.69917868768607,[10.518944  0.       26.266806  8.117533]
47,670.5563278198242,1232.4256973266602,293.21873123408295,[150.5901  200.26721 166.52255 216.58418]
48,718.6025924682617,1065.1549453735352,181.19516123144422,[200.8801    34.375103 212.32509   47.934788]
49,694.7355804443359,1112.0654563903809,163.4614854925312,[177.41554  81.54396 188.05562  94.58695]
50,1284.6315608024597,1073.1979179382324,154.94861223459884,[ 0.       42.149113  9.263122 56.246723]
51,1416.4823722839355,1033.6194849014282,536.2914720158587,[123.73339   0.      149.23135  19.23897]
52,411.52799224853516,1502.1801300048828,146.65264474367723,[149.89803 216.69916 161.15796 227.6611 ]
53,496.8263244628906,1415.935432434082,342.679402181413,[232.11668 127.13324 249.53596 144.73763]
54,419.0474166870117,1477.7658920288086,229.24555531167425,[155.6556  191.00377 170.43924 204.52802]
55,591.4599494934082,1326.6308517456055,304.8777794832131,[71.02905  38.596497 87.89085  54.665207]
56,619.6119766235352,1296.4353666305542,252.40533171157585,[100.03277     9.1250305 115.191185   23.745703 ]
57,867.0080871582031,1430.9283599853516,157.67405129224062,[ 93.289246 145.0898   104.72693  156.76692 ]
58,847.8317909240723,1460.54248046875,169.12131957989186,[ 74.13367  174.22101   85.529915 186.86395 ]
59,918.5743103027344,1328.2902221679688,147.2920531705022,[145.24513   42.473206 155.90349   54.10724 ]
60,271.16187620162964,1665.965217590332,212.15907272983168,[  8.319474 123.241455  22.004278 136.68898 ]
61,803.8892421722412,1546.5365666151047,279.8917357740647,[28.441418   2.2325304 43.337067  18.840603 ]
62,801.0538940429688,1584.7983722686768,196.31898485618876,[27.121513 41.668266 38.986275 55.92848 ]
63,799.8776483535767,1710.6396408081055,167.08578679800848,[ 26.232523 168.34215   37.522774 180.93713 ]
64,777.3809990882874,1662.690845489502,165.95578436073993,[  4.060317 120.062996  14.701681 133.3187  ]
65,150.31511688232422,1908.775188446045,147.13745656132232,[145.0169  110.9311  155.61333 122.61928]
66,137.72764587402344,1947.578598022461,446.7042286656797,[128.6042  144.47401 146.85109 166.68318]
67,70.18622207641602,2157.699417114258,208.82790789403953,[ 63.301758 103.12958   77.07069  116.26926 ]
68,77.04773712158203,2092.7641315460205,238.49756811506813,[70.26929  37.072224 83.82619  52.45604 ]
69,75.80402374267578,2131.022789001465,248.7808410297148,[68.31167 75.74095 83.29638 90.30463]
70,67.2342414855957,2183.1828842163086,240.17523652350064,[ 59.63176 128.27234  74.83672 142.09343]
