,xc,yc,area,box_label
0,1673.7900924682617,72.93776893615723,1401.7938376027741,[120.128876  54.14124  155.45131   91.7343  ]
1,1275.8273468017578,413.4125442504883,155.5595096037723,[247.6547  149.58968 256.      165.23541]
2,1339.9486064910889,393.9861526489258,369.36932812881423,[ 51.359272 128.32674   68.53794  147.64557 ]
3,1345.6554698944092,359.2572937011719,415.298144735978,[ 55.641674  93.88222   75.669266 112.63237 ]
4,1364.35111618042,394.17083740234375,319.23852955782786,[ 75.904045 129.75064   92.79819  146.59103 ]
5,1528.5799942016602,408.5000915527344,360.99254944361746,[241.15999 141.60513 256.      163.39505]
6,1530.993263244629,353.998966217041,173.2976005965611,[245.98653  90.63144 256.      105.36649]
7,1284.9511723518372,413.5220260620117,192.99176348625042,[  0.       149.1711     9.902345 165.87296 ]
8,1622.6884956359863,489.8141555786133,535.2000063488958,[ 75.49574 222.87117  97.88125 244.75714]
9,1550.4490716457367,455.65704345703125,671.0938503895886,[  2.0621314 187.13817    26.836012  212.17592  ]
10,1648.3197441101074,329.4806842803955,398.1035929972131,[103.51747  63.28159 121.12202  83.67978]
11,1258.0913619995117,650.132080078125,616.1701769991778,[221.62057 126.75597 246.56215 149.5082 ]
12,1353.274019241333,601.5735244750977,517.4572666740278,[ 62.458874  78.64068   84.089165 100.50637 ]
13,1506.8150024414062,659.1275634765625,589.1690312325954,[215.15314 135.51657 238.47687 158.73856]
14,1528.3636932373047,541.333701133728,335.43521821388276,[240.72739  19.52696 256.       39.14044]
15,1470.380844116211,576.1737098693848,308.94433037610725,[181.64272   56.313133 199.11897   72.03429 ]
16,1433.431167602539,532.1637263298035,215.528525844682,[146.17311   13.718413 160.68922   26.60904 ]
17,1634.942398071289,617.7063407897949,524.1844856616808,[ 87.548134  95.18875  110.33666  116.22393 ]
18,1714.6631546020508,747.3223648071289,646.8038832566235,[166.49751 223.05547 190.8288  247.58926]
19,1702.435935974121,644.6126251220703,1359.6124728000723,[148.47826 114.69736 184.39362 150.5279 ]
20,1577.3564701080322,667.4197845458984,999.0624118916458,[ 26.408806 139.75128   56.304134 171.08829 ]
21,1685.7432022094727,691.930061340332,789.5212005896028,[135.85417 166.71265 163.63223 193.14748]
22,1663.2718200683594,625.4029808044434,533.5901958115865,[116.03075  102.54137  138.5129   124.264595]
23,1684.6732482910156,551.1604480743408,494.8301460215589,[137.73076   28.849205 159.61574   49.47169 ]
24,1643.9399795532227,721.2176361083984,875.4709882033058,[ 93.30333 195.25818 122.57663 223.1771 ]
25,1665.6251525878906,748.5161437988281,893.2544096820056,[115.80527 221.4215  143.44504 251.6108 ]
26,1605.7014274597168,719.4632797241211,490.98394252511207,[ 57.628693 198.20041   81.77416  216.72615 ]
27,1653.7596740722656,656.3689498901367,796.0375348725356,[104.1172  130.7972  131.40215 157.9407 ]
28,1619.5465354919434,748.0804290771484,1032.4131880730856,[ 68.08241 220.41272  99.01066 251.74814]
29,1562.1326975822449,702.6514053344727,2031.1928925836692,[  1.1405134 171.23164    51.12488   210.07117  ]
30,1585.377727508545,746.4058532714844,1158.4910705180373,[ 32.465775 218.2723    66.28968  250.53941 ]
